frame.time_epoch,frame.time_delta,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,label
"1765647618.164585987","0.006589091","98","1",,,,,0
"1765647618.166406105","0.001820118","98","1",,,,,0
"1765647619.165927221","0.999521116","98","1",,,,,0
"1765647619.167322740","0.001395519","98","1",,,,,0
"1765647620.168189666","1.000866926","98","1",,,,,0
"1765647620.170290261","0.002100595","98","1",,,,,0
"1765647621.170562507","1.000272246","98","1",,,,,0
"1765647621.172084288","0.001521781","98","1",,,,,0
"1765647622.171602104","0.999517816","98","1",,,,,0
"1765647622.173166701","0.001564597","98","1",,,,,0
"1765647623.174774932","1.001608231","98","1",,,,,0
"1765647623.176281927","0.001506995","98","1",,,,,0
"1765647624.179865987","1.003584060","98","1",,,,,0
"1765647624.182900601","0.003034614","98","1",,,,,0
"1765647625.182148250","0.999247649","98","1",,,,,0
"1765647625.184675846","0.002527596","98","1",,,,,0
"1765647626.184514167","0.999838321","98","1",,,,,0
"1765647626.186498168","0.001984001","98","1",,,,,0
"1765647627.186076895","0.999578727","98","1",,,,,0
"1765647627.187692553","0.001615658","98","1",,,,,0
"1765647628.188753492","1.001060939","98","1",,,,,0
"1765647628.190481928","0.001728436","98","1",,,,,0
"1765647629.189994207","0.999512279","98","1",,,,,0
"1765647629.191518521","0.001524314","98","1",,,,,0
"1765647630.192113451","1.000594930","98","1",,,,,0
"1765647630.194998702","0.002885251","98","1",,,,,0
"1765647631.194044141","0.999045439","98","1",,,,,0
"1765647631.195466858","0.001422717","98","1",,,,,0
"1765647632.196621806","1.001154948","98","1",,,,,0
"1765647632.198127669","0.001505863","98","1",,,,,0
"1765647633.198249120","1.000121451","98","1",,,,,0
"1765647633.199640060","0.001390940","98","1",,,,,0
"1765647634.199974840","1.000334780","98","1",,,,,0
"1765647634.201984168","0.002009328","98","1",,,,,0
"1765647635.201869313","0.999885145","98","1",,,,,0
"1765647635.203422011","0.001552698","98","1",,,,,0
"1765647636.204213468","1.000791457","98","1",,,,,0
"1765647636.206013462","0.001799994","98","1",,,,,0
"1765647637.206031509","1.000018047","98","1",,,,,0
"1765647637.207538098","0.001506589","98","1",,,,,0
"1765647638.207749753","1.000211655","98","1",,,,,0
"1765647638.210573664","0.002823911","98","1",,,,,0
"1765647639.209253312","0.998679648","98","1",,,,,0
"1765647639.210748889","0.001495577","98","1",,,,,0
"1765647640.210004471","0.999255582","98","1",,,,,0
"1765647640.211563349","0.001558878","98","1",,,,,0
"1765647641.212106226","1.000542877","98","1",,,,,0
"1765647641.214393094","0.002286868","98","1",,,,,0
"1765647641.231832793","0.017439699","42",,,,,,0
"1765647641.234705783","0.002872990","60",,,,,,0
"1765647642.214176162","0.979470379","98","1",,,,,0
"1765647642.215757501","0.001581339","98","1",,,,,0
"1765647643.215918937","1.000161436","98","1",,,,,0
"1765647643.217755107","0.001836170","98","1",,,,,0
"1765647644.217997804","1.000242697","98","1",,,,,0
"1765647644.219963085","0.001965281","98","1",,,,,0
"1765647645.220131662","1.000168577","98","1",,,,,0
"1765647645.221735245","0.001603583","98","1",,,,,0
"1765647646.222104654","1.000369409","98","1",,,,,0
"1765647646.223591288","0.001486634","98","1",,,,,0
"1765647647.224955929","1.001364641","98","1",,,,,0
"1765647647.226654297","0.001698368","98","1",,,,,0
"1765647648.226804744","1.000150447","98","1",,,,,0
"1765647648.228547300","0.001742556","98","1",,,,,0
"1765647649.229092611","1.000545311","98","1",,,,,0
"1765647649.231081990","0.001989379","98","1",,,,,0
"1765647650.230573191","0.999491201","98","1",,,,,0
"1765647650.232269676","0.001696485","98","1",,,,,0
"1765647651.231634385","0.999364709","98","1",,,,,0
"1765647651.233197813","0.001563428","98","1",,,,,0
"1765647652.234330267","1.001132454","98","1",,,,,0
"1765647652.236186476","0.001856209","98","1",,,,,0
"1765647653.236018810","0.999832334","98","1",,,,,0
"1765647653.238583654","0.002564844","98","1",,,,,0
"1765647654.237519471","0.998935817","98","1",,,,,0
"1765647654.239376099","0.001856628","98","1",,,,,0
"1765647655.239383200","1.000007101","98","1",,,,,0
