frame.time_epoch,frame.time_delta,frame.time_relative,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.stream,tcp.window_size,label
"1766001166.049908337","0.000021550","1179.225886454","66","6","59458","80","0x0010","0","75","66560",0
"1766001167.756177997","1.706269660","1180.932156114","74","6","59462","80","0x0002","0","76","64240",0
"1766001167.757644303","0.001466306","1180.933622420","74","6","80","59462","0x0012","0","76","5792",0
"1766001167.757836706","0.000192403","1180.933814823","66","6","59462","80","0x0010","0","76","64256",0
"1766001167.758482480","0.000645774","1180.934460597","138","6","59462","80","0x0018","72","76","64256",0
"1766001167.759849994","0.001367514","1180.935828111","66","6","80","59462","0x0010","0","76","5888",0
"1766001167.781577636","0.021727642","1180.957555753","1133","6","80","59462","0x0018","1067","76","5888",0
"1766001167.781619563","0.000041927","1180.957597680","66","6","59462","80","0x0010","0","76","63232",0
"1766001167.783267487","0.001647924","1180.959245604","66","6","59462","80","0x0011","0","76","64000",0
"1766001167.786243245","0.002975758","1180.962221362","66","6","80","59462","0x0011","0","76","5888",0
"1766001167.786272230","0.000028985","1180.962250347","66","6","59462","80","0x0010","0","76","64000",0
"1766001169.083560447","1.297288217","1182.259538564","74","6","59466","80","0x0002","0","77","64240",0
"1766001169.085677741","0.002117294","1182.261655858","74","6","80","59466","0x0012","0","77","5792",0
"1766001169.085775809","0.000098068","1182.261753926","66","6","59466","80","0x0010","0","77","64256",0
"1766001169.087016151","0.001240342","1182.262994268","138","6","59466","80","0x0018","72","77","64256",0
"1766001169.089500647","0.002484496","1182.265478764","66","6","80","59466","0x0010","0","77","5888",0
"1766001169.107663702","0.018163055","1182.283641819","1133","6","80","59466","0x0018","1067","77","5888",0
"1766001169.107719802","0.000056100","1182.283697919","66","6","59466","80","0x0010","0","77","63232",0
"1766001169.109744841","0.002025039","1182.285722958","66","6","59466","80","0x0011","0","77","64000",0
"1766001169.112291673","0.002546832","1182.288269790","66","6","80","59466","0x0011","0","77","5888",0
"1766001169.112331234","0.000039561","1182.288309351","66","6","59466","80","0x0010","0","77","64000",0
"1766001169.131688927","0.019357693","1182.307667044","74","6","46140","80","0x0002","0","78","64240",0
"1766001169.133636065","0.001947138","1182.309614182","74","6","80","46140","0x0012","0","78","5792",0
"1766001169.133671524","0.000035459","1182.309649641","66","6","46140","80","0x0010","0","78","64256",0
